,ip_latitude,ip_longitude,height,weight,bmi,alcohol,contacts_count,public_transport_count,worried,risk_infection,risk_mortality,age_min,age_max,age_mean,age_range,age_numerical
ip_latitude,1.0,-0.2606078290469788,0.02492527238493211,0.05416925195782357,0.04560892176486439,-0.01340160721203971,-0.049996121134729156,-0.004656136964002456,0.01805997854762555,-0.019786425718660315,0.040392119425790844,0.0381190021366475,0.0381190021366475,0.0381190021366475,,0.028579689441185628
ip_longitude,-0.2606078290469788,1.0,0.007933538988455953,-0.09579368406441319,-0.10684375876448843,0.012269223759685168,0.0564438428273485,0.18382058496217032,-0.07245578104687109,-0.02056518892472203,-0.014160818272628752,-0.03438513667899631,-0.03438513667899631,-0.03438513667899631,,-0.03316813209013466
height,0.02492527238493211,0.007933538988455953,1.0,0.4121350795936404,-0.0869876568885146,0.005909623375093595,0.01513152313996726,0.018517217862921646,-0.09130645627820837,-0.05790664535191307,0.10465175506147255,0.06152239441201605,0.06152239441201605,0.06152239441201605,,0.07764089119856177
weight,0.05416925195782357,-0.09579368406441319,0.4121350795936404,1.0,0.870479288374343,0.0005050122081051182,0.020801914736658513,-0.040598985245991454,0.021045875551753603,0.14311486378661437,0.20587815163650844,0.08786538536941628,0.08786538536941628,0.08786538536941628,,0.10880678686498
bmi,0.04560892176486439,-0.10684375876448843,-0.0869876568885146,0.870479288374343,1.0,-0.0019257794783461134,0.013103400815448077,-0.052499496888308364,0.07076049988974133,0.18627793683447227,0.16957567214060204,0.06387139931688657,0.06387139931688657,0.06387139931688657,,0.07774342721113241
alcohol,-0.01340160721203971,0.012269223759685168,0.005909623375093595,0.0005050122081051182,-0.0019257794783461134,1.0,-0.002440148339353787,0.023832122843544107,-0.022243057461236473,0.01703619465710608,-0.010275547259393048,-0.010665121120977835,-0.010665121120977835,-0.010665121120977835,,-0.009852988741985452
contacts_count,-0.049996121134729156,0.0564438428273485,0.01513152313996726,0.020801914736658513,0.013103400815448077,-0.002440148339353787,1.0,0.11420789958857587,-0.12934954858388645,0.14665979036749352,-0.14618645556623125,-0.16322549098774153,-0.16322549098774153,-0.16322549098774153,,-0.15650022367977565
public_transport_count,-0.004656136964002456,0.18382058496217032,0.018517217862921646,-0.040598985245991454,-0.052499496888308364,0.023832122843544107,0.11420789958857587,1.0,-0.10085368840141767,0.08700939077746013,-0.053397117596701835,-0.09684335072220829,-0.09684335072220829,-0.09684335072220829,,-0.10345518028286413
worried,0.01805997854762555,-0.07245578104687109,-0.09130645627820837,0.021045875551753603,0.07076049988974133,-0.022243057461236473,-0.12934954858388645,-0.10085368840141767,1.0,0.08034045816875389,-0.01630665323721119,-0.024612919446986556,-0.024612919446986556,-0.024612919446986556,,-0.02309577692148438
risk_infection,-0.019786425718660315,-0.02056518892472203,-0.05790664535191307,0.14311486378661437,0.18627793683447227,0.01703619465710608,0.14665979036749352,0.08700939077746013,0.08034045816875389,1.0,-0.1085542442898923,-0.1984147456038773,-0.1984147456038773,-0.1984147456038773,,-0.1932785512289735
risk_mortality,0.040392119425790844,-0.014160818272628752,0.10465175506147255,0.20587815163650844,0.16957567214060204,-0.010275547259393048,-0.14618645556623125,-0.053397117596701835,-0.01630665323721119,-0.1085542442898923,1.0,0.864154198836982,0.864154198836982,0.864154198836982,,0.8119447687221922
age_min,0.0381190021366475,-0.03438513667899631,0.06152239441201605,0.08786538536941628,0.06387139931688657,-0.010665121120977835,-0.16322549098774153,-0.09684335072220829,-0.024612919446986556,-0.1984147456038773,0.864154198836982,1.0,1.0,1.0,,0.9871395040786539
age_max,0.0381190021366475,-0.03438513667899631,0.06152239441201605,0.08786538536941628,0.06387139931688657,-0.010665121120977835,-0.16322549098774153,-0.09684335072220829,-0.024612919446986556,-0.1984147456038773,0.864154198836982,1.0,1.0,1.0,,0.9871395040786539
age_mean,0.0381190021366475,-0.03438513667899631,0.06152239441201605,0.08786538536941628,0.06387139931688657,-0.010665121120977835,-0.16322549098774153,-0.09684335072220829,-0.024612919446986556,-0.1984147456038773,0.864154198836982,1.0,1.0,1.0,,0.9871395040786539
age_range,,,,,,,,,,,,,,,,
age_numerical,0.028579689441185628,-0.03316813209013466,0.07764089119856177,0.10880678686498,0.07774342721113241,-0.009852988741985452,-0.15650022367977565,-0.10345518028286413,-0.02309577692148438,-0.1932785512289735,0.8119447687221922,0.9871395040786539,0.9871395040786539,0.9871395040786539,,1.0
